0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
630,26,3.80798649788
0,0,0
0,0,0
0,0,0
631,202,5.09911966324
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
160,22,4.2427406311
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
158,26,3.90522480011
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
156,21,7.52537631989
0,0,0
161,17,3.2016620636
631,15,2.23616790771
0,0,0
0,0,0
0,0,0
0,0,0
629,8,4.67346906662
0,0,0
0,0,0
160,19,3.53563380241
628,129,4.03122901917
162,21,5.41143608093
0,0,0
631,208,2.23616790771
0,0,0
0,0,0
0,0,0
629,212,3.90522480011
630,8,2.50009989738
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
631,16,2.23616790771
0,0,0
0,0,0
0,0,0
0,0,0
630,1,2.23616790771
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
629,33,3.2016620636
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
157,23,3.60565114021
0,0,0
610,1,13.5370864868
0,0,0
630,176,4.38643741608
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
155,34,3.60565114021
628,200,3.60565114021
0,0,0
0,0,0
631,16,2.69268226624
629,11,4.71709060669
0,0,0
631,226,2.23616790771
631,129,2.23616790771
0,0,0
0,0,0
0,0,0
0,0,0
626,33,6.70830392838
164,24,8.514793396
0,0,0
0,0,0
163,32,2.82852697372
630,20,3.80798649788
631,13,2.23616790771
0,0,0
627,208,8.60242557526
0,0,0
629,209,4.60987234116
625,200,7.90579414368
0,0,0
0,0,0
0,0,0
0,0,0
626,33,4.92452907562
0,0,0
0,0,0
0,0,0
0,0,0
630,60,4.47223615646
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
