x,y,radius
10,24,26.0000991821
17,37,40.9299163818
25,52,57.9159851074
26,57,63.3128166199
25,83,87.1623077393
22,89,92.31812286379999
8,101,93.8036499023
19,111,93.47548675540001
20,126,93.1585693359
30,141,92.33456420899999
34,162,91.8493347168
38,185,91.6524581909
41,190,91.4818115234
45,253,92.4748764038
44,276,93.4325942993
47,279,92.35403442379999
54,287,89.60060119629999
56,292,87.64283752440001
58,296,85.6330337524
57,302,80.61027526859999
56,305,77.8107681274
54,306,75.6737442017
47,315,64.7476882935
37,316,56.679019928
36,315,56.8507804871
34,314,56.703273773199996
30,310,57.2932052612
27,308,57.706253051800005
23,303,60.0771331787
20,302,60.4070510864
5,293,65.7306060791
1,285,65.0077896118
1,280,61.508228302
1,260,54.5092735291
1,252,53.0095329285
1,245,54.009357452399996
1,241,53.5094451904
1,238,53.5094451904
1,233,55.009189605699994
1,229,55.5091056824
1,230,58.0087203979
1,230,58.508644104
1,231,63.50797271729999
1,235,69.5162811279
1,237,73.0069503784
1,241,76.0149002075
1,244,79.50638580319999
1,255,80.5140762329
1,267,81.5139007568
18,283,78.2193450928
23,287,75.584487915
30,294,71.5892028809
34,304,64.2359924316
36,313,58.4124259949
36,320,53.0519599915
30,335,38.1084976196
18,349,20.3532314301
