id,frame,X,Y,orientation
-1,frame000000.png,0,0,0
-1,frame000001.png,0,0,0
-1,frame000002.png,0,0,0
-1,frame000003.png,0,0,0
-1,frame000004.png,0,0,0
-1,frame000005.png,0,0,0
-1,frame000006.png,0,0,0
-1,frame000007.png,0,0,0
-1,frame000008.png,0,0,0
-1,frame000009.png,0,0,0
-1,frame000010.png,0,0,0
-1,frame000011.png,0,0,0
-1,frame000012.png,0,0,0
-1,frame000013.png,0,0,0
-1,frame000014.png,0,0,0
-1,frame000015.png,0,0,0
-1,frame000016.png,0,0,0
-1,frame000017.png,0,0,0
-1,frame000018.png,0,0,0
-1,frame000019.png,0,0,0
-1,frame000020.png,0,0,0
-1,frame000021.png,0,0,0
-1,frame000022.png,0,0,0
-1,frame000023.png,0,0,0
-1,frame000024.png,0,0,0
-1,frame000025.png,0,0,0
0,frame000026.png,538,328,1.2908252085787777
0,frame000027.png,609,219,1.2477155026478428
0,frame000028.png,581,240,1.385144080849765
0,frame000029.png,547,249,1.337215288373579
0,frame000030.png,538,273,1.332143749324827
0,frame000031.png,518,277,1.3052472098472832
0,frame000032.png,510,302,1.2335988964577818
0,frame000033.png,493,309,1.3173688895344884
0,frame000034.png,480,323,1.235647476139077
0,frame000035.png,477,335,1.205297785281302
0,frame000036.png,458,353,1.278731229048883
-1,frame000037.png,0,0,0
-1,frame000038.png,0,0,0
0,frame000039.png,476,304,1.5295222275228648
-1,frame000040.png,0,0,0
-1,frame000041.png,0,0,0
-1,frame000042.png,0,0,0
-1,frame000043.png,0,0,0
-1,frame000044.png,0,0,0
-1,frame000045.png,0,0,0
-1,frame000046.png,0,0,0
-1,frame000047.png,0,0,0
-1,frame000048.png,0,0,0
-1,frame000049.png,0,0,0
-1,frame000050.png,0,0,0
-1,frame000051.png,0,0,0
-1,frame000052.png,0,0,0
-1,frame000053.png,0,0,0
-1,frame000054.png,0,0,0
-1,frame000055.png,0,0,0
-1,frame000056.png,0,0,0
-1,frame000057.png,0,0,0
-1,frame000058.png,0,0,0
-1,frame000059.png,0,0,0
-1,frame000060.png,0,0,0
-1,frame000061.png,0,0,0
0,frame000062.png,258,408,1.2525587333298729
0,frame000063.png,263,376,1.2699166832409463
0,frame000064.png,252,359,1.347465034676644
0,frame000065.png,255,346,1.2937243751864946
0,frame000066.png,245,338,1.339751172486539
0,frame000067.png,243,314,1.3114235660583557
0,frame000068.png,236,290,1.289982450276423
0,frame000069.png,234,278,1.291389103075356
0,frame000070.png,226,266,1.2899188776918313
0,frame000071.png,225,245,1.2837572680750984
0,frame000072.png,221,222,1.2626977076700865
0,frame000073.png,220,213,1.266398104315722
0,frame000074.png,215,194,1.2585582137813929
