x,y,radius
291,72,93.2997436523
293,65,93.3515930176
293,58,93.2560119629
296,48,93.2430801392
300,37,93.3622970581
301,30,93.2739181519
302,23,93.4481048584
308,13,93.129196167
315,5,93.1344070435
319,2,92.5338745117
324,3,92.0489959717
328,1,90.0056533813
332,1,89.0127410889
336,1,86.0131759644
339,1,85.0133361816
342,1,80.5140762329
346,1,78.0145187378
347,1,76.5148010254
350,1,75.0067672729
351,1,75.0067672729
351,1,72.5069961548
350,1,71.5070953369
347,1,72.5069961548
343,1,73.5154037476
334,1,77.5065536499
326,1,80.5140762329
320,1,83.0136489868
310,1,85.0133361816
304,1,87.0058441162
292,1,89.5126647949
288,1,90.5125274658
278,2,91.5219573975
271,3,91.5492630005
253,8,91.4323425293
240,10,91.9090881348
221,18,91.7865982056
207,20,92.3537750244
193,24,92.3509750366
172,29,92.9601135254
159,33,93.4111785889
137,35,94.2410812378
126,38,94.5582504272
105,41,95.413848877
89,44,96.9230041504
81,51,96.4080886841
77,57,96.1003036499
69,64,94.4524688721
66,67,94.4048156738
61,70,92.8494415283
59,71,92.314781189
56,71,90.7373580933
55,71,90.1180801392
54,70,88.408241272
55,68,87.4586639404
55,65,85.529335022
56,63,84.6242675781
58,60,83.8108978271
61,57,83.4866256714
63,54,83.3022613525
64,52,82.7784194946
65,51,82.9292831421
67,46,81.9665527344
70,41,81.807800293
73,37,82.5137329102
76,31,82.2694702148
77,29,82.7482147217
78,25,82.3848648071
80,20,83.0693511963
82,14,83.1866378784
84,7,84.2912597656
85,2,85.0236282349
89,1,82.0138168335
92,1,80.0141601562
92,1,79.0064315796
93,1,78.0145187378
91,1,77.5146102905
92,1,77.0147094727
87,1,76.5148010254
87,1,77.0065917969
80,1,77.5065536499
78,2,78.5399017334
75,7,75.3260574341
73,11,74.3186721802
67,16,68.8840560913
65,18,67.5815353394
60,21,64.2067947388
58,26,63.5610923767
51,30,59.4244194031
46,31,56.1650352478
39,33,51.7929573059
29,31,42.7932052612
21,28,35.0000991821
15,24,28.7272644043
9,19,21.2427444458
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
