id,X,Y,ORIENTATION
0,3.91812131,0.65079051,2.9622041775957673
0,4.32143272,1.24738003,2.8995308526692485
0,4.26920209,1.24002285,3.0204528730085847
0,4.27398737,1.26308111,2.9407063936271225
0,4.30218495,1.22791899,2.91645925795984
0,4.2941877,1.2757298,2.8790452566496825
0,4.3043483,1.23567581,2.7932585224342077
0,4.28727159,1.23250159,2.8706757670089895
0,4.27003181,1.24371294,2.785049490891963
0,4.3284601,1.26003224,2.7425543043192575
0,4.27325157,1.22526531,2.814353350228951
0,4.4988294,1.68198506,3.0519356092553678
0,4.23003721,1.14096638,2.8040931574158567
0,4.26439145,1.20139665,2.8230781990117855
0,4.24285003,1.18483969,2.901642605472255
0,4.26799946,1.20444737,2.848481662878056
0,4.25425572,1.18087988,2.8935882368067656
0,4.25966241,1.20167774,2.866253219406652
0,4.2592513,1.21152424,2.8444068834151253
0,4.26115022,1.19134676,2.8440073402554193
0,4.26471356,1.20385514,2.8382255627635358
0,4.26125531,1.21824362,2.814760851499752
0,4.26713018,1.21704289,2.817168213378258
0,4.25428128,1.2246696,2.782244029487817
0,4.26449567,1.22642796,2.776014845917955
0,4.26758271,1.22535869,2.766294639658198
0,4.25527907,1.23043729,2.762660491751376
0,4.26852645,1.23189942,2.745376565450756
0,4.26376232,1.24759377,2.7291995352895166
0,4.26864768,1.24852659,2.7195317886639336
0,4.26775372,1.24873345,2.717075013144134
0,4.27064284,1.25888961,2.692496133409422
0,4.27668899,1.25914209,2.7099322849859724
0,4.2735359,1.26148188,2.7353219151545396
0,4.27357621,1.25826047,2.7396581312334494
0,4.27746459,1.26845402,2.7200507705066155
0,4.28396844,1.26272391,2.747779195272874
0,4.27727636,1.25797525,2.7728710949671984
0,4.28095504,1.25573805,2.8230488662720834
0,4.28293399,1.24536803,2.8321643314986806
0,4.28355808,1.25010748,2.844797459222936
0,4.29556047,1.25488279,2.8555938998556147
0,4.28541095,1.24642917,2.8640585825405163
0,4.30258352,1.24778926,2.8700585016610285
0,4.28399434,1.24331887,2.876029440658348
0,4.28125189,1.23566063,2.8983550661044193
0,4.2918849,1.23573281,2.9031335343570346
0,4.27546197,1.22874628,2.906962893270181
0,4.28239458,1.23052713,2.91741154356785
0,4.26166616,1.22104024,2.9131328410845363
0,4.26935704,1.23217562,2.9157967892392564
0,4.26915043,1.23245132,2.9166730236612963
0,4.28909427,1.26253857,2.923831167415231
3,7.65253788,4.11470638,-0.12953407231422953
3,7.67385403,4.19384519,-0.3503797470205996
0,7.24976328,4.14788879,2.9313935744739092
3,7.67676778,4.20854617,-0.4114280365109533
0,7.86570248,4.15059037,4.589261560620303
3,7.65314415,4.11813113,-0.1093393902277584
3,7.60085214,3.98467678,0.30250586128805046
1,8.3124626,4.07498508,4.296754986783685
3,7.66619274,4.1708026,-0.27699786292311623
3,7.66151745,4.16069938,-0.2740886380989551
0,8.39778763,4.0779815,3.4085251273458703
1,8.17559323,3.98704117,3.146819632230291
3,7.6970021,4.29267141,-0.5369089303475518
0,8.31297242,4.07534439,3.852743809221298
0,8.30113369,4.08612338,-0.9794248178071905
3,7.68749866,4.27516488,-0.4749078977157619
3,7.68835804,4.2806891,-0.5510104001999498
3,7.6899279,4.29349197,-0.5509872342870079
1,6.3936597,4.61323186,-1.2393987311941068
3,7.69580204,4.31008445,-0.5771031790477184
3,7.68458992,4.26897789,-0.5095071544163539
3,7.68796764,4.25867459,-0.5126602287914679
3,7.68452223,4.25425771,-0.5076390722775679
3,7.68862381,4.26220032,-0.5130876536411748
3,7.6834948,4.25372203,-0.5041742670525304
3,7.68125636,4.26771035,-0.5127728182214515
3,7.68265576,4.24962837,-0.47200147329391573
3,7.6855015,4.24035217,-0.4859171632736137
3,7.68359825,4.24316705,-0.4711107836748476
3,7.68477569,4.23987623,-0.477602468669984
3,7.68412559,4.23741735,-0.46866047047616455
3,7.68555286,4.23966764,-0.48214909338291867
3,7.68246446,4.23471636,-0.4824386795222113
3,7.68458467,4.23434861,-0.4680965336889429
3,7.68597598,4.24056194,-0.4947818884622428
3,7.68923785,4.2521188,-0.5084421207984062
3,7.68653298,4.24142154,-0.49819447289835694
3,7.68721903,4.24596704,-0.5052031996982629
3,7.68922016,4.24817743,-0.5223305843268424
3,7.68818851,4.24386979,-0.5037973160484677
3,7.69182685,4.25682925,-0.543527182088785
3,7.68650909,4.24369049,-0.5027881483616963
3,7.69018442,4.25630491,-0.5400727581965881
3,7.69199617,4.2528112,-0.5382385677873032
3,7.69145079,4.26259355,-0.5526185699045576
3,7.6893505,4.24800592,-0.5271972320726279
3,7.68803367,4.25047177,-0.5252933511236535
3,7.69359238,4.27103379,-0.5764123426870065
3,7.69375907,4.26933494,-0.5667596553627088
3,7.69352299,4.26782835,-0.5675244363010512
3,7.69492646,4.27906111,-0.5700201523047426
3,7.69155444,4.26043143,-0.5438453601165893
3,7.69142819,4.27018276,-0.5533246850199207
3,7.69024853,4.26948184,-0.5490028797116064
3,7.69370149,4.26531658,-0.5566615737212977
3,7.6959226,4.2750908,-0.5797156158570946
3,7.69144252,4.2651391,-0.5472352600102721
3,7.69304612,4.28270316,-0.5591117240718961
3,7.69251522,4.26561371,-0.5458322656784984
3,7.69819297,4.29323418,-0.5902114887697816
3,7.68722817,4.270146,-0.5145916480791566
3,7.68354187,4.24407367,-0.47910519454665534
3,7.68122262,4.24381261,-0.4740886150973309
1,7.96294479,4.7796836,3.812696198528049
3,7.62305757,3.92563491,-0.13072278910404433
2,4.35048984,8.05742074,2.2873679371303597
2,4.33629524,8.05161661,2.286513732274587
2,4.35041628,8.05137254,2.2860898753617382
2,4.34425925,8.06190872,2.284021423974017
2,4.34196012,8.05316123,2.28128941517792
2,4.35200494,8.05010263,2.291904115685257
0,4.39224911,12.00032135,2.0184992496651586
0,4.32291427,7.59342981,2.5295300985703415
0,4.35532568,7.40301941,-1.3407531441924059
2,4.32638166,8.05388207,2.2830688707489895
2,4.32399667,8.0536556,2.28512204995059
2,4.31287825,8.05311063,2.287577861228983
2,4.73882421,8.30136355,3.2671811826170822
0,4.51641538,7.73425075,-1.4043337134622256
2,4.26483312,8.07414654,2.2579272409703584
0,-11.14327296,-20.50307057,4.490878657514771
0,4.26579337,8.68401439,-1.1772404428489316
2,4.2838603,8.05255726,2.270283600088511
2,4.28706192,8.0487816,2.272593371793954
2,4.26321685,8.04478065,2.2768820685431264
2,4.29130025,8.05070649,2.2771137275607796
2,4.29652146,8.05329344,2.2863680351012983
2,4.29060094,8.05112541,2.2981101054219852
2,4.29316531,8.05238204,2.2921641429755275
2,4.29199445,8.04988183,2.301707716336881
2,4.31162284,8.04950311,2.3040174891894574
2,4.29788354,8.04954211,2.3034750886268496
2,4.30877488,8.04346137,2.321139222759226
2,4.30344912,8.04779085,2.310738956287831
2,4.31374126,8.04761728,2.3100724155984844
2,4.3054738,8.05373083,2.31142030389781
2,4.3137185,8.04665478,2.3161410106997664
2,4.31285998,8.04913788,2.322250284193705
2,4.3101005,8.04322799,2.323323410601403
2,4.31688567,8.0453375,2.3195733169477597
2,4.31427199,8.04658365,2.3143649647694544
2,4.31604884,8.04764556,2.3134403544187188
2,4.31933366,8.04994702,2.307556254926631
2,4.31565187,8.04679072,2.31720173162263
2,4.32200923,8.04737749,2.302854070526707
2,4.31856299,8.04664459,2.2939328174817097
2,4.3179239,8.03999021,2.2999488258714273
2,4.31898153,8.04783399,2.278006856359704
2,4.32024129,8.04735148,2.2773469858592565
2,4.32129826,8.04679516,2.2723289339599773
2,4.31863998,8.05003663,2.2626236574304985
2,4.31609538,8.0504667,2.2605621735013144
2,4.31678571,8.05115713,2.2609825797045486
2,4.31909093,8.05611322,2.254877505493673
2,4.31321509,8.05324175,2.2707917526410766
2,4.31643423,8.05122627,2.2713470116208305
2,4.31558776,8.05135144,2.271639568258417
2,4.3147555,8.05422559,2.270820309975415
2,4.30494205,8.05261543,2.277638931432116
2,4.31524172,8.05598802,2.2704168083267584
2,4.31488966,8.05418037,2.2726894229029537
2,4.31583359,8.04542114,2.2850203687712782
2,4.31519387,8.05428368,2.2810888256140083
2,4.30114646,8.04695052,2.3016129129394054
2,4.30693121,8.05354132,2.2848647318260418
2,4.31596693,8.05154403,2.2974984906339135
2,4.30680393,8.04887148,2.303815968277036
2,4.31013767,8.04135608,2.3296107227878844
2,4.31431709,8.04972571,2.3059415255256566
2,4.31845813,8.04606381,2.297815846239685
2,4.31844092,8.0473987,2.2959580885804685
2,4.32473415,8.04761659,2.3005152459747107
2,4.3235452,8.05112392,2.294698059363716
2,4.32368586,8.05083195,2.2976015872852633
0,4.29448118,8.55112855,4.041888891979008
2,4.34567548,8.0450561,2.298672094655328
2,4.350199,8.04531819,2.2873584933950415
2,4.34542535,8.0449458,2.3081059092516343
2,4.34997402,8.04766413,2.280172301989738
2,4.34552046,8.04652741,2.2962052011372034
2,4.34725371,8.04482495,2.3022255445314115
2,4.34452799,8.04026111,2.329368079661381
2,4.33949944,8.04604673,2.3069314120652913
2,4.33857523,8.04292099,2.304197749234867
2,4.33132135,8.05057123,2.2985034798705835
2,4.32896693,8.05052301,2.3026137316472504
2,4.3230473,8.06099176,2.2723893249052405
2,4.32412627,8.05263649,2.304894799303459
2,4.31778589,8.0500333,2.3150296827233845
2,4.31702663,8.04938541,2.3085568517099193
2,4.31380182,8.05153411,2.298855270481795
2,4.30627956,8.06252601,2.258870227230151
0,3.34715822,4.09092312,2.6437998115148473
2,4.30028385,8.05790673,2.2824395143968594
2,4.30589276,8.04973513,2.315896474600886
2,4.29731455,8.04276263,2.3554957332395263
2,4.29916758,8.05310358,2.2958887939379067
2,4.29822241,8.0543044,2.3013998897448915
2,4.29343087,8.05053118,2.316160107544495
2,4.30103765,8.05164759,2.2957604803779907
2,4.28734292,8.0563569,2.296098652576762
2,4.29989001,8.05153728,2.3037711159675185
2,4.28729793,8.05543823,2.291869449055171
2,4.29477437,8.05270627,2.285187554329122
2,4.29301763,8.05851634,2.272368334632001
2,4.30036697,8.04977976,2.3240161400688852
2,4.31502545,8.07699493,2.1518207225443677
1,3.89143092,8.29901077,3.3740548817287834
2,4.27627286,8.03242236,2.395886934466695
2,3.87970467,8.02308834,2.324575191318358
1,0.86545719,5.49172174,1.3720494306933544
0,1.47963816,5.03324203,3.2502818767688044
1,0.85731235,5.48124749,1.3810460444396953
1,0.8517598,5.48386877,1.3609270110065406
1,0.86975982,5.48202659,1.4147120551164651
1,0.84855034,5.4984268,1.3431241335073343
1,0.86641039,5.50038166,1.3537079551993811
1,0.86256546,5.49488255,1.3626386897121878
1,0.8635322,5.490623,1.3552147399362802
1,0.87145275,5.49638654,1.3778424612274773
1,0.86133816,5.50008169,1.3318556726491815
1,0.87125467,5.49735508,1.3609367487866566
1,0.86371515,5.5001669,1.3591739356329036
1,0.89116055,5.486585,1.4401700728511706
1,0.88248412,5.49185269,1.403666151436931
1,0.86217434,5.51268375,1.3202323733409858
1,0.85982431,5.50522512,1.3345733735850092
0,1.59319601,5.1222791,2.1515502253192795
1,0.873329,5.49994365,1.374090297014132
0,2.02818482,4.92478302,-0.8652406230101313
1,0.88040347,5.49533824,1.420173175285692
1,0.88240214,5.49250667,1.4210829767422228
0,1.45712132,6.12382235,-1.5723039910350445
0,1.0047977,5.26377461,3.7073672730603286
1,0.89379148,5.48295999,1.4968329634284283
1,0.89551286,5.48608014,1.4915738962365286
1,0.88515836,5.49452772,1.446968547458214
1,0.8912928,5.49014195,1.4734664535351125
1,0.88439766,5.49207893,1.4728825609610001
1,0.89876722,5.47862285,1.5240670026067036
0,1.19134896,5.12450846,3.9513866390054604
1,0.88903017,5.48800554,1.4952945696274653
1,0.89529129,5.4828924,1.5023562220061883
1,0.88596874,5.48743066,1.5004754961211206
1,0.89696912,5.48291701,1.4886297842043166
1,0.89689999,5.47707557,1.559994587303083
1,0.88321581,5.4887088,1.4543864065504581
0,1.54180078,5.08475136,4.54714459790671
1,0.87621728,5.48416768,1.4720747311784246
1,0.89064923,5.475579,1.4701574200860286
1,0.87663434,5.48917399,1.468003833021731
1,0.89040257,5.47683421,1.460543209047885
1,0.86934276,5.50080594,1.4430069120384577
1,0.87973959,5.49426837,1.4443496780556853
1,0.86955118,5.50008678,1.4221471724427386
1,0.88766198,5.48440782,1.4594362661148517
1,0.86709119,5.50135114,1.4207554375233493
1,0.87123321,5.50787582,1.4152796074504685
1,0.87132724,5.48762567,1.4319014269518908
1,0.94323158,5.42393137,1.7264065455620823
0,2.13498894,5.45001982,3.263646785264794
1,0.7098385,5.79425551,0.9632029870945245
1,0.85904408,5.52567374,1.4179903566321785
1,0.86624822,5.52365625,1.3859820400068
1,0.87340704,5.51520437,1.4278841964164373
1,0.88252388,5.50212261,1.4549936611180065
1,0.82825916,5.53430779,1.2571142563161768
1,0.8877007,5.47983323,1.4951670733994766
1,0.89350319,5.48046335,1.5198334307831707
1,0.88087528,5.48764219,1.4422819029800176
1,0.88806468,5.47772636,1.4673884835691862
1,0.86014896,5.50770798,1.3689601958090032
1,0.87168967,5.49330173,1.4105765216303567
1,0.87906247,5.4911373,1.4396892641182917
1,0.96243488,5.40920804,1.8896486415893832
1,0.88122146,5.47671106,1.4479091602890781
1,0.87758213,5.47556511,1.4272583689904996
1,0.87842614,5.47646681,1.441121604919277
1,0.90194644,5.46259247,1.5008986524427308
1,0.89866533,5.46290061,1.5033682157284647
1,0.89366906,5.46186902,1.443555456064054
1,0.86804181,5.47661979,1.3504739241841008
1,0.89113922,5.4348469,1.492717808552837
1,0.87625597,5.47917876,1.3179753643456695
1,-2.34736538,11.19698282,0.4211133093018735
1,0.85256451,5.56062953,1.289206416964948
1,0.86355972,5.52356494,1.3595669814894717
1,0.88326513,5.50584492,1.426374060234092
1,0.87575199,5.52359255,1.4205144950334019
1,0.882594,5.52051493,1.4205975697435014
1,0.87181057,5.5159981,1.424583007333848
1,0.87722591,5.50594227,1.4206817652301107
1,0.88181164,5.50424938,1.4389348554351533
1,0.88135444,5.50839583,1.4501992649387643
1,0.88660195,5.50915307,1.454854080949736
0,1.37897789,5.29419496,-1.3058781493942928
0,0.50190153,5.20704793,4.478002455575897
1,0.88932848,5.49413139,1.4626004946875648
1,0.88472217,5.49446917,1.4782165170840331
1,0.8922533,5.48824239,1.5014040995711253
0,1.64629505,5.1273178,2.3171482478469967
1,0.88128741,5.49053909,1.4775992322335905
1,0.89649313,5.48413072,1.5375431627899392
1,0.88273745,5.49458754,1.4656377757839036
0,0.46346675,5.07404378,2.56876828170102
1,0.88692024,5.48700704,1.4713307259120711
1,0.89769093,5.47055095,1.5352121409058304
1,0.89664572,5.47757878,1.5349809783457333
1,0.87442288,5.4902742,1.4366865173943633
1,0.86847819,5.49779218,1.3900428948117174
1,0.88441967,5.48915953,1.4692066767158523
0,0.66214011,5.73696981,-1.5270002813492813
1,0.87081915,5.49700288,1.4113690540507764
1,0.87425752,5.49735259,1.4307531108868836
1,0.87413229,5.49363226,1.4348540496726192
1,0.86449752,5.50426725,1.3640780145977394
1,0.86463787,5.50063835,1.3776355171198968
1,0.87163993,5.49974898,1.4017039551081674
1,0.87006307,5.50145922,1.3958198558243564
1,0.86716595,5.50396143,1.366080551382569
1,0.84740527,5.51886491,1.2995466842480174
1,0.86224903,5.51129072,1.3738062017605428
1,0.85310679,5.51172255,1.3315390622178864
1,0.87634503,5.50915754,1.444924985144511
1,0.87001253,5.50120228,1.373875490817865
1,0.85472993,5.51224883,1.3530146405831975
1,0.86026755,5.52008954,1.3724300432783816
1,0.87642404,5.49965014,1.3995410030746611
1,0.87166335,5.50811842,1.439303391845631
1,0.87407209,5.50126847,1.4036434718882986
2,4.35653802,8.0731017,2.152330330390581
1,4.13551162,8.0336622,2.9834690072957653
2,4.33517816,8.05648371,2.2961497351804967
2,4.33298436,8.05582324,2.3080842305675553
2,4.31912812,8.05803437,2.2828968407666914
2,4.32790928,8.0552165,2.279668693549896
2,4.31702955,8.05719435,2.3052594611517696
2,4.30574434,8.05367953,2.300135192340668
2,4.3133488,8.06001616,2.2883824216658146
2,4.30156843,8.05290795,2.2874893069417563
2,4.30672375,8.05477688,2.2847183645724987
2,4.30432881,8.04733916,2.3021900060658833
2,4.30754191,8.05081182,2.2829976460863795
0,3.93810825,7.97941887,-1.390109990084277
0,4.01221168,6.48964381,3.39243515279065
2,4.30891694,8.05152703,2.261498174456234
2,4.31017667,8.05876713,2.2606295148806477
2,4.30956347,8.05019324,2.2925071276315196
2,4.3130204,8.05157128,2.2757871579125317
2,4.31947354,8.0529853,2.281180258616121
2,4.31942362,8.05517444,2.270620501786085
2,4.32771581,8.05119398,2.2857137026149688
2,4.32934389,8.05332719,2.284329188343265
2,4.32966837,8.05073728,2.312209697908108
2,4.33344454,8.04984402,2.3077185114801755
2,4.34362101,8.05278046,2.2773816719970776
2,4.34907643,8.04712113,2.318900747370585
2,4.34875555,8.04471455,2.308950443641479
2,4.35330217,8.04350014,2.331218015807342
2,4.35874987,8.0513808,2.2998882990529177
2,4.35590776,8.04380236,2.3285863625550336
2,4.35846949,8.04552237,2.3266588411213487
2,4.35714094,8.04326279,2.3205213457270406
2,4.35560873,8.04522109,2.3057381062789433
2,4.35298692,8.03393221,2.3613649186377703
2,4.35804736,8.03755112,2.330182058279572
2,4.34804404,8.05763645,2.2661039222404984
2,4.35014559,8.04215601,2.31713318878336
2,4.34281048,8.04558356,2.30975376161287
2,4.34581605,8.03499256,2.302806124542415
2,4.34543727,8.0458699,2.333925112202982
2,4.33647083,8.0452461,2.3053023627626983
2,4.33641945,8.03745692,2.318667143085602
2,4.33222375,8.05042782,2.298966130798514
2,4.33061825,8.04818368,2.2997958046452545
2,4.32497038,8.04277849,2.3176236457174917
2,4.34106602,8.04848639,2.3242378503857113
2,4.32316322,8.04779582,2.3125166816977107
2,4.33836768,8.02994194,2.3237743242632187
2,4.31985558,8.05022106,2.3005578195507406
2,4.32902588,8.04032961,2.306466430922983
2,4.326365,8.04952032,2.300933022544177
2,4.32441943,8.0468442,2.301683890142386
2,4.32021231,8.04314864,2.312751634020315
2,4.3176195,8.04723476,2.2937648124183156
2,4.31959671,8.05199262,2.29869990087706
2,4.31825413,8.04643116,2.2939335719719542
2,4.3165747,8.04815996,2.2853669685587756
2,4.31575642,8.05359731,2.279837050581717
2,4.31367286,8.05269693,2.2837087192690957
2,4.3145938,8.04838594,2.2839346593660554
2,4.31313615,8.05443514,2.279735932541114
2,4.31270345,8.05795263,2.2858609313230467
2,4.31225938,8.05804748,2.2847532061242504
2,4.31039093,8.0574898,2.288581009625191
0,4.36648097,7.33691661,3.0663798548957137
2,4.3099786,8.05186373,2.3021938632363814
2,4.31283441,8.05684914,2.287795632898884
2,4.31358129,8.05323761,2.286336190091836
2,4.31136107,8.05636192,2.287400590636247
2,4.30586128,8.05682872,2.282385967948196
2,4.3124532,8.05658762,2.283788182374771
2,4.31477856,8.0511483,2.299445066019927
2,4.31417013,8.05592157,2.2872257239457823
2,4.31655942,8.04739417,2.304831755492895
2,4.31212432,8.05582727,2.2913426951373044
2,4.31233588,8.0451776,2.3065679906041163
2,4.3157715,8.05371787,2.301009216500284
2,4.31794343,8.05249564,2.2965256452940475
2,4.31366685,8.04403559,2.31164766388932
2,4.31907635,8.04919815,2.3002685905684532
2,4.32989732,8.05669453,2.2971721858285727
2,4.31688721,8.04078445,2.3081550442007512
2,4.32265502,8.04957065,2.3051316674336033
2,4.32337153,8.04621974,2.3102722969483063
2,4.32157415,8.03848227,2.310131294368948
2,4.32432997,8.04757912,2.305556924848303
2,4.3212168,8.03806786,2.304923170965833
2,4.32733914,8.05468345,2.3012307537920003
2,4.32244288,8.04000774,2.294422719311874
2,4.32158407,8.05301626,2.294538977218198
2,4.31374103,8.04403995,2.291305536133992
2,4.31552464,8.05393717,2.289564179627087
2,4.31035445,8.04171337,2.2905361285545776
2,4.29904479,8.04833066,2.2886542175120823
2,4.30269253,8.04467264,2.2869742272462803
0,4.28231105,7.85593093,-1.3460249506757938
2,4.27493751,8.05091608,2.279903611728358
2,4.26973552,8.05358123,2.275524387003211
1,4.53065995,8.2539151,3.3258186828761014
2,4.28561701,7.98031412,2.2964711407062044
2,4.28284734,8.05273108,2.2669300754204165
2,4.29507686,8.05740787,2.2692717091144425
0,4.19362467,8.72730788,4.403760715738026
2,4.30511287,8.05630082,2.266041231705075
2,4.31984346,8.05609191,2.2664487709462966
2,4.32378159,8.05632154,2.27323611435179
0,4.42501404,7.21357413,4.116022573736416
0,4.38746059,7.34111457,4.5638307233556406
2,4.33360097,8.05174688,2.268781380484013
2,4.33867366,8.05512948,2.265064110229405
2,4.33715433,8.04848868,2.2663107555664475
2,4.34029343,8.05384046,2.2652226458827887
2,4.3473406,8.0464012,2.270642609795482
2,4.34825614,8.05006152,2.269115439666375
2,4.36437556,8.05249655,2.2760265482756905
2,4.35394099,8.04937699,2.2814807800272714
2,4.35044461,8.04999178,2.283501791394498
2,4.36113587,8.05637777,2.2839217015914635
3,7.66411424,4.0518695,-0.29865331674057716
1,7.56486981,4.47532456,2.7710215575344694
3,7.67637056,4.17231351,-0.3864269006327816
3,7.6807507,4.21182653,-0.4550988652712762
3,7.68548492,4.24510854,-0.5257140779674119
3,7.68779157,4.23232292,-0.5209369366735832
3,7.69022465,4.25813709,-0.5410607542024841
3,7.68817419,4.24809796,-0.5321684239681852
3,7.6888649,4.26088873,-0.552092648911048
3,7.68979769,4.26322783,-0.5604647595851144
3,7.68855378,4.25359351,-0.5432220283763101
3,7.69921946,4.24808439,-0.5540986807802486
3,7.69710225,4.25658741,-0.5567305540036438
3,7.69494915,4.26980004,-0.5722017652503488
3,7.69161461,4.26364058,-0.5438631940412815
0,8.39913004,4.08393874,3.389278061588267
3,7.69147471,4.26599594,-0.554283754661139
3,7.69092459,4.27054319,-0.5674224744618193
3,7.68491489,4.26113583,-0.5418239401354719
3,7.68733594,4.25307095,-0.5341801499841718
3,7.68874409,4.26514199,-0.5441506429962821
3,7.68907085,4.25902283,-0.5353730967861949
3,7.68638658,4.25707301,-0.5334116133089217
3,7.69037467,4.26404025,-0.5425325638525589
3,7.68182707,4.24998524,-0.5051165808625604
3,7.68777397,4.24999214,-0.5108944411527989
3,7.68450803,4.24219214,-0.5079472734194515
3,7.68417543,4.24587855,-0.5015396557198599
3,7.68115373,4.23412631,-0.4843169692972089
3,7.68162018,4.24325386,-0.4909755233318793
3,7.68023796,4.22847754,-0.4739207901188116
3,7.68113534,4.22671015,-0.46656506193717484
