X,Y
7.55064449,7.12815097
7.54419951,7.13134372
7.54618675,7.1274929
7.5493362,7.12585318
7.5480967,7.12725356
7.54682197,7.12208575
7.54720663,7.14101624
7.55532131,7.14268305
7.53341805,7.16625985
7.54984584,7.18409527
7.55217674,7.19697919
7.55886094,7.22200089
7.56039155,7.24879623
7.57038931,7.26298019
7.56620977,7.29126716
7.57253391,7.35473797
7.53877209,7.37764025
7.53103513,7.35515857
7.53279373,7.33557386
7.5121072,7.31603764
7.5217041,7.30488334
7.51761718,7.30542528
7.52239473,7.30288665
7.49138374,7.31526445
7.47037001,7.34155806
7.40698857,7.33771421
2.35795704,7.42171602
2.33635812,7.43328635
2.31252065,7.43671161
2.28203158,7.42976528
2.27499354,7.42552139
2.25069569,7.39766781
2.24899375,7.39480239
2.24767226,7.3865706
2.24883205,7.37815964
2.24062236,7.37628669
2.23534645,7.35847156
2.22882285,7.36510182
2.24324938,7.38866822
2.2542993,7.39026237
2.26500147,7.39775923
2.27881659,7.39878005
2.28548912,7.3963437
2.29025773,7.39559292
2.2993875,7.38874469
2.29895875,7.38814528
2.30506718,7.37855395
2.30307459,7.36539545
2.29737187,7.35590193
2.29102314,7.35710524
2.28402851,7.35726583
2.27486787,7.35846643
2.2696047,7.35988503
2.2560855,7.36082914
2.23134557,7.35766394
2.22223737,7.35074971
2.20800411,7.35138284
2.19490388,7.32615416
2.18343405,7.30602782
2.19547382,7.30759827
2.19166719,7.31465785
2.19726844,7.3149746
2.20692414,7.31750414
2.19180742,7.317054
2.20736702,7.32058078
2.21173952,7.32395378
2.21458535,7.32807129
2.21646015,7.33014241
2.22212169,7.33444312
2.22269572,7.3360399
2.2198372,7.34308801
2.22075044,7.33690716
2.22278846,7.34010419
2.22702576,7.34553127
2.21956552,7.3528881
2.22508024,7.35446797
2.22162827,7.35311606
2.22426334,7.35856455
2.22677354,7.3554656
2.22289853,7.35603874
2.22561015,7.35680753
2.22355193,7.35814988
2.22400075,7.3545833
2.22458049,7.35514571
2.22460958,7.35137369
2.22151595,7.3549239
2.22254595,7.34778072
2.22107652,7.34879928
2.22061724,7.34767229
2.21838852,7.34435871
2.22199533,7.33622584
2.21943276,7.32689836
2.21997537,7.32241537
2.21652833,7.32769912
2.21832284,7.32214144
2.22030697,7.32541479
2.22103722,7.32006062
2.22009123,7.3172908
2.21532606,7.31665133
2.21221801,7.31767224
2.2175818,7.31163375
2.21146991,7.31805792
2.21408036,7.32152719
2.21862469,7.31637342
2.21989186,7.3216252
2.21428527,7.32510503
2.2168712,7.31551142
2.19288547,7.33044397
0.59831893,8.33319916
0.60868438,8.34059238
0.62196391,8.32739507
0.62350313,8.33712267
0.629921,8.32747339
0.63218971,8.33369573
0.62888836,8.33273252
0.63807016,8.32481203
0.64070893,8.32947377
0.6331389,8.334632
0.63424103,8.33384825
0.63428058,8.33140119
0.63332915,8.33579612
0.62817203,8.3358297
0.62581202,8.33820563
0.6278235,8.33567512
0.62469713,8.33955132
0.62374956,8.34211888
0.62261662,8.34218687
0.61933078,8.34130273
0.61400072,8.34192048
0.60933225,8.34165067
0.60654701,8.3429338
0.60787789,8.34368256
0.60487277,8.34260462
0.60193526,8.34822253
0.59983082,8.34650972
0.59928924,8.34906427
0.59347889,8.35078374
0.58979769,8.34780886
0.58998809,8.35012949
0.58965196,8.34866506
0.58315915,8.35035301
0.58174095,8.35025639
0.58739713,8.35306205
0.58553329,8.35236155
0.59799989,8.34698895
0.58998177,8.34536898
0.5941882,8.34214879
0.60090638,8.35157428
0.60055175,8.3445693
0.58942293,8.35417551
0.6057138,8.3399864
0.59294752,8.34700163
0.60857991,8.33588359
0.59107802,8.34387573
0.60228238,8.34300378
0.60229573,8.34351506
0.59955113,8.34555961
0.62206787,8.33776703
0.60813019,8.33424824
0.60953892,8.34322402
0.61762283,8.34648468
0.61534583,8.344727
0.62563382,8.34459167
0.62556948,8.3431129
0.62622835,8.3448152
0.62816852,8.34353232
0.63347778,8.34396078
0.62975342,8.34607109
0.63596647,8.34428684
0.63378621,8.33855944
0.63378358,8.3382506
0.63005676,8.33397893
0.63229025,8.33625196
0.62865726,8.33169818
0.62598412,8.33190429
0.64165206,8.32484132
0.62717694,8.33074598
0.63926764,8.3238745
0.63175727,8.31911562
0.63472923,8.32022957
0.64074477,8.3240399
0.62822227,8.3277107
0.62517626,8.33381073
0.63024118,8.33297849
2.23621248,7.3175519
2.22721275,7.31987695
2.21025243,7.31712755
2.2173171,7.31869021
2.20139163,7.32302837
2.19801347,7.30466231
2.19972932,7.32291725
2.20531684,7.31744564
2.19444968,7.31196591
2.20670181,7.31309522
2.1976648,7.31073613
