X,Y
-1.521946421,1.3633916298
-1.521957218,1.3633959243
-1.5219623568,1.363412235
-1.5219483391,1.363397577
-1.5219816802,1.3634098681
-1.5219502743,1.3633928141999998
-1.521953794,1.3633959769
-1.5219715228,1.3634259314
-1.5219645483000002,1.3633762104
-1.5219697478,1.3633635674000002
-1.5219777416999998,1.3634069957
-1.5219746391,1.36337424
-1.5219604126,1.3633697471
-1.5219578109,1.3633703072
-1.5219689362,1.3633747458
-1.5219556442,1.3633955239
-1.5219604661,1.3633892022
-1.5219710171,1.3633959421
-1.5219764669999998,1.3634060598
-1.5219562264,1.3634067388999995
-1.5219629234,1.3633793822
-1.5219498269999998,1.3633956319999998
-1.5219828911000002,1.3634191022
-1.521978949,1.363414526
-1.5219602888,1.3633947572
-1.5219525861,1.3633830227
-1.521967918,1.3634010089
-1.5219534797,1.363390805
-1.5219720882,1.3633976441
-1.5219699432,1.3634183731
-1.5219507153,1.3633788591
-1.5219764343000002,1.3634059756
-1.5219613568,1.3633933597
-1.5219716687,1.3633937668
-1.5219759416999998,1.3633962408000002
-1.5219704383,1.3633921505000002
-1.5219722497,1.3634041515000002
-1.5219654858000002,1.3633944339
-1.5219699616999998,1.3633784888999998
-1.5219431543000002,1.3634064324
-1.5219838627000002,1.363386611
-1.5219596624,1.3634053634
-1.5219775757,1.3633749001
-1.5219647786,1.3633749486000002
-1.5219645942,1.3633610694
-1.5219685782,1.3634356071
-1.521961448,1.3634022622
-1.5219755653,1.3634005474000002
-1.5219897506,1.3633897384
-1.5219882437,1.3634336529
-1.5219586688,1.3634213891
-1.521947655,1.3634171631
-1.5219524659,1.3634011413999998
-1.5219620798,1.3634010054
-1.5219676742,1.3633960043
-1.5219459227,1.3634086982
-1.5219593003,1.3634103702
-1.521979722,1.3634156237
-1.5219680929,1.3634003385
-1.521957842,1.3634227588
-1.5219715449000002,1.3633914735
-1.5219618296,1.3633893858
-1.5219646719,1.3633730499
-1.521958797,1.3633859858
-1.5219518705,1.3634116464
-1.5219667898,1.3634182246000002
-1.5219617372999998,1.3634209207
-1.521969846,1.3633893407
-1.5219757303,1.3633922123
-1.5219763703,1.3634158399
-1.5219720174,1.3634004957
-1.5219738128,1.3633792965
-1.5219602234,1.3633941238
-1.5219557938,1.3633750505000002
-1.5219667911,1.3633742383
-1.5219648471,1.3634144589
-1.5219740077,1.363422263
-1.5219588636,1.3633954893
-1.5219780578,1.3634228169999998
-1.5219800356,1.3634209716
-1.5219577297,1.3633965785
-1.5219672664,1.3634210584
-1.5219480896000002,1.3633847863
-1.5219673003999998,1.3633670334
-1.5218477318,1.3633236443
-1.5220190334,1.3633479848
-1.5219993621,1.3633403161000002
-1.5220151253999998,1.363318908
-1.5219830035,1.3633125711
-1.5220450865,1.3633530191999998
-1.5220378892,1.3633405994
-1.5220071807,1.3633383466999998
-1.5220016803,1.3633740824
-1.5220288512,1.3633535303
-1.5219874911000002,1.3633112778999998
-1.5220124659,1.3633357964
-1.5220382242,1.3633897859
-1.5220155242,1.3633390762
-1.521982912,1.363260023
-1.5220301525,1.3633810565
-1.5220000291999998,1.3632736388
-1.5220225233000002,1.3634295453
-1.5220574797,1.36346183
-1.5220198604,1.3633370131
-1.5220606175,1.3634150371
-1.5219757975,1.3633166631
-1.521994502,1.3632926775999998
-1.5220244501,1.3634080240000002
-1.5220215794,1.363336742
-1.52203204,1.3633303421
-1.5220263886,1.3633248136000002
-1.5220190902,1.3634575149
-1.5219946522,1.3633797841
-1.5219482736,1.3633306355
-1.5218892077,1.3634440019999998
-1.5219486757,1.3634680365
-1.5219047033000002,1.3634153038
-1.5220453957,1.3633057903
-1.5220059281,1.3633147898
-1.5219666164,1.3634134457
-1.5216309438999998,1.3641013902
-1.521481747,1.3652970649
-1.520948361,1.3661891928
-1.5207291229,1.3664555441
-1.5201174862,1.3677932927
-1.5193898016999998,1.3685452341
-1.5180341225999998,1.3710357446
-1.5173117436,1.372147801
-1.5150810652000002,1.3752173447
-1.5130732179,1.3774868548
-1.5092172532,1.3817644829
-1.5067841306999998,1.3844129515
-1.5034886414,1.3894211716
-1.5016382796,1.3925998138
-1.4989136178,1.3970732424
-1.4981081647,1.3985007926
-1.4960469233000002,1.4030470223
-1.4957054286000002,1.4043704748
-1.4961102488999998,1.4046249607
-1.4965135978,1.4042012486000002
-1.4983831898,1.4014838957
-1.5008991836,1.3971897166999998
-1.5029072297,1.3926545159
-1.5052299518,1.3879813800999998
-1.5095339749,1.3777987459
-1.5107844172999998,1.3747539424000002
-1.5130041248,1.3665400063
-1.5142052655,1.3610104888
-1.5155547936000002,1.3528824832
-1.5157213037,1.3506577116
-1.5157386013,1.3400216081999998
-1.5151830885,1.335418819
-1.5138867384,1.3293960134
-1.5132828266999998,1.3278779491
-1.5091880669,1.3201150795
-1.5082661859,1.3188855177
-1.5064705433,1.316947244
-1.5060024787,1.3165576002
-1.5048912251,1.3161770778
-1.5047359095,1.3163028794
-1.5048915869,1.3176088518
-1.5054100769,1.3183373759
-1.5071019117,1.3217660093
-1.5081686059,1.3236375213
-1.5096136487,1.3261250055
-1.5103909072,1.327141909
-1.5122353733000002,1.3306877004000002
-1.5130180385,1.3322307588
-1.513676101,1.3343116506
-1.5134958953,1.3346050713
-1.5136968205,1.3373635723
-1.5136637171,1.3379123314
-1.5125983065000002,1.3389648567
-1.5121423111,1.3401919473
-1.5098309923,1.3415629888
-1.509288538,1.3418969225
-1.507472022,1.3431731941
-1.5059165966,1.3438363138
-1.5033326105000002,1.3450902831
-1.5014495482,1.3455377228
-1.4987989639,1.3472176442
-1.4975812106,1.3475874335
-1.493814114,1.3491528342
-1.4925508467,1.3494978275999998
-1.4889320009,1.3513448680000002
-1.4877475822,1.3516220891
-1.4836759947999998,1.3529539008000002
-1.4823930305000002,1.353363309
-1.4792301426,1.3543983928
-1.4754104075,1.3547904423
-1.4716678394999998,1.3556776841
-1.4702522788,1.3562557305
-1.4660228813999998,1.3570176297999998
-1.4597666145,1.3583732393
-1.4549973461,1.3597315359
-1.4533607005000002,1.3600367337
-1.4485150984,1.3615686983000002
-1.4434608972,1.3632033306
-1.4388121594,1.3650464674
-1.4371468563,1.3656158313999998
-1.4327530565,1.3672191075
-1.4296328236000002,1.3683857156
-1.4237185359,1.3704443991
-1.4221073481,1.3709383896
-1.4162696841999998,1.3724834481
-1.4144697497999998,1.3728534507
-1.4101798867,1.3734138852000002
-1.4069999584,1.3740861113
-1.4028452495,1.3749923550999998
-1.3999370656,1.3752647690000002
-1.3955524585,1.3758331119999998
-1.3926536041,1.3761887518
-1.3878801928,1.376432048
-1.3847920207,1.376967894
-1.3805175724,1.3773028583000002
-1.3787584885,1.3777242014
-1.3743543447,1.378375066
-1.3695946066,1.3791905951
-1.3642267619,1.3799859248
-1.3611512886,1.381301104
-1.357402769,1.3821516456999998
-1.3534741053,1.3835109924000002
-1.3483306218,1.3853971098
-1.3441674234,1.387140688
-1.3369047464,1.3906423652000002
-1.3350868731,1.3916752469999998
-1.3294709591,1.3938224202
-1.3274602029,1.3948721681
-1.3209632287000002,1.3993183872
-1.3171902848,1.402011246
-1.3124615548,1.4059795217
-1.3104436391,1.4075923974000002
-1.3041914246,1.4139488431
-1.300615744,1.4178403775
-1.2958455807,1.4231812183
-1.2940838044,1.4250602408000002
-1.2868883164,1.4330257893
-1.2853665026,1.4345168192
-1.2795446133,1.4397750141
-1.2759211975,1.4425888146
-1.2680597705,1.4472860906
-1.2658202518,1.4485474734
-1.2601045562,1.4504981474
-1.2557329572,1.4515739019
-1.249412781,1.4519278449000002
-1.2475266295,1.4519106571
-1.2395915465,1.4510948537
-1.2359097482,1.4502039544999998
-1.2320309704,1.4488786066
-1.2263988656,1.4461648785
-1.2219773393,1.4437254532
-1.2204681249,1.4427867951
-1.2161949386,1.4395557715
-1.2124533623,1.4359874134
-1.2101339289,1.4332569484
-1.2081913058,1.430549481
-1.2053387799,1.4251001876
-1.2046830736,1.4235117943
-1.20292309,1.4183293755000002
-1.2021954348,1.4151888122999998
-1.2008770632,1.4073205533000002
-1.2007752015000002,1.4053756154
-1.2003169779,1.3989400108
-1.2002785601,1.3944798034
-1.2002973677,1.3873430391
-1.2005361034,1.382806887
-1.2009155825,1.374770225
-1.2018642753,1.3694067088
-1.2030967459,1.3608036827
-1.2038265085,1.3572550881
-1.2061700519,1.3448679566
-1.2071895823999998,1.3418482561
-1.210929632,1.3291614568
-1.2117587534,1.3264330833
-1.2153713001000002,1.3162183851
-1.2175627959,1.3103426542
-1.2227768749,1.2970144216
-1.2245036456,1.2933296873
-1.2287306226,1.2840497744
-1.2318983499,1.2773855998
-1.2374493635,1.266997568
-1.2408019251,1.2609190297
-1.2469233918,1.2502775172
-1.2512199027,1.2443555678
-1.2582836761,1.2343513264
-1.2636051585,1.2277753109
-1.2721028296,1.2178595197
-1.2754299206,1.2138700683
-1.288572772,1.2006983863
-1.2950062858,1.1947236246
-1.3074132291,1.1844412777
-1.3114628159,1.1812024128
-1.3281969506,1.1689870205
-1.3338678557,1.1652700752
-1.3530682471000002,1.1533654687
-1.3595258009,1.1499352402
-1.3761182697999998,1.1405252776
-1.3878718106,1.1344243483
-1.4061384991,1.1251970531
-1.4186115457,1.1188567703
-1.4378068957,1.1095237893
-1.4505089102000002,1.1030215868000002
-1.4687066692,1.0939052511
-1.4752156198,1.0907349237
-1.5002516216,1.0777300864
-1.5133154359,1.0707482452
-1.5460810014,1.0523756703
-1.5611602253,1.0435330232
-1.5761980133000002,1.0347973557
-1.584538254,1.03015597
-1.5938967863,1.0248918917
-1.6176428797,1.0125895527
-1.6220853903,1.0103008527
-1.6331310994,1.0055128576
-1.6415819018,1.002168845
-1.6488747662,0.9994796668
-1.6565216284,0.9967715888
-1.6729323881,0.9918163422
-1.6769972913,0.9906624438
-1.6879757331,0.987636344
-1.6958362148,0.9857332567
-1.7075465937999998,0.9829926918
-1.7158336522,0.9809764872
-1.7300471972,0.9778277227
-1.7455067387,0.9745431139
