X,Y
-1.12658204,1.21536606
-1.12667011,1.21765553
-1.12048158,1.21702798
-1.12010366,1.21677766
-1.12050551,1.21819385
-1.11790696,1.21819157
-1.11573962,1.21671183
-1.1162453,1.21676069
-1.1073161,1.21497473
-1.0969258,1.21725107
-1.08887103,1.21712538
-1.08649843,1.21740152
-1.08015295,1.21949644
-1.07540695,1.22248948
-1.07106505,1.22661834
-1.06925999,1.22824132
-1.06792778,1.23455186
-1.06408091,1.23542621
-1.05732197,1.23989225
-1.05443737,1.23975495
-1.80864831,1.61044132
-1.81844791,1.61002947
-1.04472809,1.2433116
-1.81307455,1.60911268
-1.0449401,1.24433035
-1.03940297,1.2430439
-1.0374626,1.24395754
-1.0341743,1.24450306
-1.02496553,1.24235722
-1.02529528,1.24240438
-1.02280261,1.24193134
-1.02250243,1.24127262
-1.01932628,1.24068021
-1.01612193,1.23924986
-1.00865414,1.23922458
-1.00836329,1.24094929
-1.0026292,1.24122986
-0.9972492,1.24246967
-0.99177855,1.24738613
-0.98537242,1.24814081
-0.97863793,1.2542433
-0.9764557,1.25678652
-0.96708541,1.2623074
-0.96518776,1.2650467
-0.96020531,1.25662867
-0.954417,1.24716495
-0.95293914,1.24419378
-0.95179403,1.24543612
-0.95074546,1.25257694
-0.94886174,1.25897859
-1.02297438,1.48018743
-0.94443272,1.27130508
-0.93821968,1.28452476
-0.9355952,1.2859213
-0.92784672,1.29278648
-0.92364486,1.29777419
-0.91284241,1.30192194
-0.91162187,1.30423635
-0.90434708,1.3063967
-0.8988795,1.30649971
-0.88619461,1.30110319
-0.88332579,1.29901161
-0.87052102,1.28970885
-0.86375602,1.28452816
-0.85638021,1.27930072
-0.84431431,1.27379275
-0.83720293,1.26749232
-0.83420894,1.26574732
-0.82372986,1.25878591
-0.81420662,1.24913899
-0.80979851,1.2442152
-0.80440312,1.2387776
-0.79437927,1.23072733
-0.7922615,1.22867203
-0.78769067,1.22314325
-0.78476649,1.21908925
-0.77592512,1.20652819
-0.77468713,1.20471951
-0.76704339,1.19333666
-0.76587427,1.18885869
-0.76181508,1.18142441
-0.76038325,1.17367025
-0.75388784,1.16139572
-0.75414775,1.15434233
-0.75044457,1.14335209
-0.74980254,1.13710439
-0.74333621,1.11778868
-0.74554416,1.11387912
-0.74399672,1.09318483
-0.74364948,1.08821924
-0.74425591,1.07212906
-0.74415484,1.06535227
-0.7461341,1.04830407
-0.74733599,1.04521491
-0.74948592,1.03486793
-0.7483825,1.02730652
-0.74634898,1.01334231
-0.74622821,1.00697702
-0.74382232,0.99410559
-0.7459095,0.98468747
-0.74961366,0.97607398
-0.75312229,0.96918332
-0.75794388,0.95581929
-0.75902614,0.94927043
-0.7677196,0.93087292
-1.0986907,0.96422255
-1.09884782,0.94998913
-1.09829044,0.94708462
-1.10342007,0.93234949
-1.10494035,0.93614865
-1.11137149,0.93468333
-1.11024736,0.93583458
-1.11132784,0.94039112
-1.11447939,0.93784219
-1.11557811,0.9403847
-1.11824383,0.94015158
-1.1095614,0.94227439
-1.12023042,0.93957641
-1.1157679,0.93906352
-1.09902576,0.93987747
-1.10623693,0.93531567
-1.11681749,0.92832343
-1.10488599,0.92963599
-1.07946981,0.93572773
-1.08034961,0.92862281
-1.07374056,0.94147233
-1.07103789,0.93970335
-1.07032766,0.93740085
-1.07111471,0.93781047
-1.07435162,0.94555393
-1.08119552,0.946301
-1.07835351,0.94954334
-1.0830198,0.95069916
-1.09134673,0.95404363
-1.09241307,0.95278508
-1.10056936,0.95423965
-1.10905609,0.95557367
-1.15682334,0.66011548
-1.16471866,0.65690734
-1.1778199,0.65048505
-1.18892203,0.64657345
-1.19245748,0.64681726
-1.20097587,0.64099027
-1.20567122,0.63947594
-1.21597124,0.63319006
-1.21890789,0.6318604
-1.22612763,0.63239137
-1.23179554,0.62768192
-1.24096257,0.62486163
-1.24485163,0.62101684
-1.25169438,0.61935285
-1.25556494,0.61832504
-1.26474678,0.61432111
-1.27093867,0.61052585
-1.28251876,0.60387098
-1.29019138,0.60048107
-1.3055379,0.59198872
-1.31663311,0.58262706
-1.3305796,0.57180572
-1.33347081,0.56787443
-1.34483348,0.56370071
-1.3472774,0.56393843
-1.35870467,0.56620103
-1.3620392,0.56800459
-1.37436337,0.56898255
-1.37509583,0.56607928
-1.38384531,0.56610395
-1.39146356,0.56212048
-1.40174441,0.54993362
-1.40535436,0.55026639
-1.40958091,0.54206012
-1.40952944,0.53445593
-1.40429414,0.52459736
-1.39922037,0.51946346
-1.3886721,0.51263469
-1.38576681,0.51175556
-1.37500123,0.5014432
-1.37275179,0.49609255
-1.37178439,0.49134067
-1.37158555,0.48373098
-1.37823061,0.47048023
-1.37981035,0.47064811
-1.38671753,0.46290048
-1.39253749,0.45521244
-1.39658163,0.4491294
-1.40053563,0.44177714
-1.4016693,0.43453188
-1.4021914,0.42909667
-1.40474491,0.42003899
-1.40745524,0.4136087
-1.41320207,0.39943338
-1.41467608,0.39819581
-1.42006857,0.37078169
-1.42349218,0.35693027
-1.42670694,0.33801752
-1.42678017,0.32340431
-1.42655543,0.30598389
-1.42654772,0.30259948
-1.42849592,0.28632151
-1.42839199,0.28061976
-1.425104,0.26276555
-1.42312383,0.2598801
-1.42169066,0.24851511
-1.42062878,0.24256023
-1.42387401,0.23292417
-1.42606169,0.2254559
-1.43189845,0.21851947
-1.4363053,0.21532714
-1.44730415,0.21034957
-2.88943173,0.40451742
-2.89312444,0.40053809
-2.89306889,0.40170764
-2.89436839,0.38708053
-2.89623296,0.38144213
-2.89564763,0.39278
-2.90038387,0.38773947
-2.90200412,0.38685894
-2.9039027,0.38887739
-2.90480512,0.38755465
-2.90488899,0.38380481
-2.90533708,0.37422054
-2.88863235,0.37549714
-2.88341619,0.38387902
-2.89102889,0.38016677
-2.87357903,0.38552485
-2.86727169,0.38755091
-2.86166334,0.38750154
-2.85869681,0.37070525
-2.71085277,0.30649315
-2.71249591,0.30913929
-2.86554297,0.38168886
-2.86482833,0.38077993
-2.85576774,0.38299894
-2.84383572,0.37382286
-2.828347,0.3840548
-2.68698854,0.32609669
-2.69487164,0.33241395
-2.69173623,0.33206443
-2.69035046,0.32737462
-2.69425655,0.33265379
-2.6994056,0.33646828
-2.72802468,0.40084109
-2.69851504,0.33795019
-2.71933778,0.40018132
-2.71890109,0.35614175
-2.71451018,0.34309835
-2.7288874,0.15484817
-2.73159642,0.10476056
-2.73362483,0.1029118
-2.74157319,0.08216943
-2.74895309,0.12398661
-2.72770249,0.36530979
-2.72483735,0.33864655
-2.73149393,0.38999228
-2.69990912,0.3282594
-2.69346434,0.33289939
-2.69043255,0.33446394
-2.71747424,-0.22072126
-2.71534549,-0.23362646
-2.71886029,-0.24536662
-2.72487289,-0.26069035
-2.72308511,-0.24802121
-2.72116944,-0.2455592
-2.69485102,-0.23321812
-2.68457636,-0.2196924
-2.68932991,-0.27044837
-1.0841564,-0.56776685
-1.05327219,-0.59195518
-1.0250271,-0.61823971
-1.00677535,-0.63173803
-0.97969503,-0.6507546
-0.97244239,-0.65368229
-0.94515055,-0.66603744
-0.9275253,-0.67362511
-0.90409122,-0.68463809
-0.90150416,-0.68494339
-1.02982648,-0.67263949
-1.030539,-0.67401355
-1.0343057,-0.67343993
-1.04015973,-0.67387535
-1.04248572,-0.67411364
-1.04048017,-0.67502371
-1.03188857,-0.68687109
-1.03230561,-0.69093434
-1.03235622,-0.70500716
-1.03392213,-0.71027597
-1.03665853,-0.71319336
-1.03671727,-0.72460174
-1.03866717,-0.71779109
-1.04207971,-0.71439879
-1.035712,-0.71702819
-1.03292585,-0.71643327
-1.03698792,-0.7151155
-1.03700043,-0.71769843
-1.03854783,-0.71969636
-1.03422017,-0.72090572
-1.03169147,-0.71472655
-1.03227716,-0.71836314
-1.03383818,-0.71113802
-1.03272066,-0.71371209
-1.03100246,-0.7141872
-1.02699492,-0.7155642
-1.02439405,-0.71623261
-1.02086526,-0.71698793
-1.0251499,-0.70987721
-1.02663047,-0.7120135
-1.03064846,-0.70615612
-1.02797557,-0.70748571
-1.02902603,-0.71060554
-1.02961458,-0.71945386
-1.02827328,-0.72329507
-1.02876118,-0.71718631
-1.03158027,-0.71565971
-1.0320869,-0.71747337
-1.03320819,-0.71410399
-1.03081051,-0.70734199
-1.02990232,-0.70771963
-1.03250075,-0.70257652
-1.0283808,-0.70251939
-1.02868948,-0.70526071
-1.03421934,-0.6988204
-1.0320377,-0.70245458
-1.03468511,-0.70154691
-1.03605514,-0.69730102
-1.03505815,-0.6934192
-1.03724437,-0.69528155
-1.03917973,-0.69460041
-1.0396059,-0.69431248
-1.0363801,-0.69063057
-1.04126744,-0.69299959
-1.04226864,-0.68946223
-1.04185354,-0.69022545
-1.04045585,-0.69531037
-1.0419633,-0.69730456
-1.03843247,-0.69684532
-1.03788915,-0.70063633
-1.0331428,-0.70694717
-1.03326598,-0.70202933
-1.03380292,-0.70147279
-1.03448944,-0.6942467
-1.0321425,-0.68702519
-1.03126889,-0.68608784
-1.03028055,-0.68501752
-1.02962276,-0.6849794
-1.03105637,-0.68080762
-1.03346462,-0.68265119
-1.03724156,-0.67928467
-1.03704348,-0.6803701
-1.03481033,-0.68905084
-1.03533407,-0.69312481
-1.03259503,-0.69123834
-1.03652498,-0.68611485
-1.0350853,-0.6850401
-1.03252724,-0.68575375
-1.03399753,-0.69170715
-1.03278626,-0.68824901
-1.03191038,-0.69154938
-1.03210711,-0.69336881
-1.03201243,-0.69069509
-1.02716184,-0.69236888
-1.03326211,-0.68642289
-1.03524872,-0.68805211
-1.0302934,-0.69423193
-1.03107798,-0.6917927
-1.03509797,-0.68972665
-1.03892784,-0.68913595
-1.03592112,-0.69118374
-1.03412684,-0.69260732
-1.03182141,-0.69223829
-1.02994289,-0.69142325
-1.03266219,-0.69370514
-1.03515375,-0.69660933
-1.03187203,-0.69657316
-1.02824147,-0.70177117
-1.02543691,-0.6935174
-1.02234971,-0.69502972
-1.02544298,-0.69281721
-1.02507804,-0.69423545
-1.02067386,-0.70468493
-1.02472021,-0.70041414
-1.02494284,-0.70072441
-1.027348,-0.70073921
-1.02752328,-0.69636907
-1.02810352,-0.69577169
-1.02973907,-0.68757301
-1.02739821,-0.68233193
-1.02388765,-0.68533461
-1.02385473,-0.68888418
-1.0227392,-0.68506369
-1.02741041,-0.68467352
-1.02726904,-0.68243441
-1.02429141,-0.68124008
-1.02605653,-0.68274132
-1.02637464,-0.68260896
-1.02556404,-0.68041747
-1.026164,-0.67842098
-1.02388538,-0.67462527
-1.02521177,-0.67353745
-1.02673002,-0.67364685
-1.02586724,-0.67380807
-1.02490126,-0.67726228
-1.02802914,-0.68025215
-1.02735455,-0.68122013
-1.02565992,-0.68102255
-1.0196309,-0.68989151
-1.02604143,-0.69007842
-1.02608852,-0.69438551
-1.03440452,-0.69717638
-1.03422988,-0.69820393
-1.03704303,-0.70313703
-0.92686044,-1.73637617
-0.92666226,-1.74128067
-0.93232245,-1.75386485
-2.70147037,-1.47671495
-2.70492098,-1.49714105
-2.70253228,-1.50628749
-2.70459462,-1.49684307
-2.70555151,-1.50313272
-2.70932143,-1.51022509
-2.7108538,-1.5011143
-2.70621002,-1.46991827
-2.70361215,-1.47439335
-2.69934342,-1.41518115
-2.70275886,-1.44066134
-2.70683667,-1.43772205
-2.6996846,-1.39108563
-2.70277648,-1.3775237
-2.70050806,-1.3750408
-2.70750575,-1.35164829
-2.70593277,-1.34416703
-2.70313954,-1.32631173
-2.69875519,-1.27628314
-2.69844148,-1.27828585
-2.7040033,-1.2726421
-2.69983492,-1.28465688
-2.70165915,-1.28227343
-2.70606197,-1.30101651
-2.70350703,-1.30718433
-2.70776139,-1.32255457
-2.71550207,-1.32600012
-2.71920312,-1.33836706
-2.71734872,-1.34886673
-2.71328679,-1.36187754
-2.70780468,-1.36856931
-2.70627572,-1.38289906
-2.71300365,-1.41927
-2.72650642,-1.46183101
-2.72158923,-1.47721159
-2.72198761,-1.3168317
-2.73551056,-1.34168938
-2.71458737,-1.92141209
-2.70765926,-1.9273515
-2.69968296,-1.94812726
-2.6965089,-1.96094509
-2.69299274,-1.98958211
-2.69355531,-2.004049
-2.6851761,-2.03133913
-2.68351479,-2.05642978
-2.67785656,-2.07651623
-2.68088921,-2.08118352
-2.67394978,-2.10856277
-2.67579186,-2.1268373
-2.67701246,-2.14430054
-2.65561045,-2.2181903
-2.67423893,-2.21758304
-2.66299838,-2.24077993
-2.65179778,-2.23081857
-2.65644493,-2.21550838
-2.63166079,-2.21254626
-2.6450759,-2.20465753
-2.6532745,-2.15361496
-2.64455004,-2.162719
-2.65006492,-2.11499807
-2.65459335,-2.07342558
-2.65048693,-2.04662446
-2.63943948,-2.05104182
-2.64261786,-2.05020865
-2.65048672,-2.04666831
-2.64259159,-2.06134929
-2.64553387,-2.06638021
-2.63506244,-2.08405792
-2.63570475,-2.09889866
-2.63254317,-2.12445527
-2.64106246,-2.13113578
-2.62736865,-2.17226598
-2.63326599,-2.17834155
-0.65636144,-1.39714283
-0.64962131,-1.38063094
-0.61933678,-1.32483165
-0.61324134,-1.3112144
-0.59599703,-1.2756993
-0.57526472,-1.238108
-0.55305328,-1.20703467
-0.54153988,-1.19307277
-0.51541493,-1.14741033
-0.51140889,-1.13758698
-0.49147336,-1.1002033
-0.47475278,-1.07545214
-0.45119937,-1.03925425
-0.41466942,-0.98381502
-0.40476127,-0.97116001
-0.39309038,-0.94787419
-0.36886641,-0.91289651
-0.36402556,-0.89819157
-1.03142501,-0.66296746
-1.03034229,-0.65467777
-1.03073353,-0.65178122
-1.03203559,-0.65191427
-1.03114406,-0.64806767
-1.03190253,-0.65517167
-1.03356085,-0.65042779
-1.03390116,-0.65745875
-1.04221943,-0.66363926
-1.03939278,-0.6597155
-1.04289602,-0.66509011
-1.04189733,-0.67136376
-1.03069888,-0.66663581
-1.0386256,-0.66957334
-1.04490822,-0.66626086
-1.04445494,-0.66036155
-1.03827229,-0.65684841
-1.04019435,-0.6597207
-1.0430735,-0.66208731
-1.03923436,-0.64535715
-1.0361434,-0.64699975
-1.04142022,-0.6683607
-1.04177169,-0.66795808
-1.03665149,-0.66913057
-1.03453167,-0.66819928
-1.03391903,-0.67041281
-1.03766521,-0.67652773
-1.03985112,-0.67779991
-1.03866098,-0.67866846
-1.03106201,-0.67505515
-1.02936138,-0.6760113
-1.0297437,-0.67906754
-1.03591435,-0.67877288
-1.03224197,-0.67902022
-1.03945023,-0.68596554
-1.04263236,-0.6857427
-1.03919891,-0.68305308
-1.04462305,-0.68792656
-1.04480582,-0.68963901
-1.04544291,-0.68919809
-1.04095197,-0.69053755
-1.04445259,-0.69300303
-1.03962421,-0.68913764
-1.03946937,-0.69127328
-1.03848167,-0.69017537
-1.04015884,-0.68981491
-1.04068757,-0.68926492
-1.04702841,-0.69121182
-1.02891595,-0.68863937
-1.02348118,-0.6931658
0.15854539,0.11686747
0.1568828,0.11910438
0.16361059,0.13597204
0.167398,0.14104224
0.16877862,0.1511052
0.17382436,0.16285576
0.1709923,0.17320513
0.17127187,0.18215911
0.16568148,0.19206541
0.16769748,0.20199217
0.15928495,0.21205604
0.15629795,0.21813135
0.14958836,0.2279184
0.15064825,0.23304087
0.14450196,0.24312523
0.1331367,0.25018559
0.1283669,0.25783202
0.12505347,0.26507009
0.11877519,0.26968047
0.11711173,0.27005054
0.11976221,0.26894714
0.1203853,0.26721456
0.12787413,0.26780749
0.12956378,0.26615215
0.14612921,0.26472571
0.15282754,0.2618319
0.16229144,0.25775023
0.16779995,0.2542343
0.17849579,0.25148375
0.18277513,0.24729285
0.19250773,0.24609887
0.19490635,0.24377219
0.20519212,0.23992748
0.21043271,0.23740348
0.21226515,0.22906318
0.21221359,0.22581441
0.21560821,0.21526579
0.21792858,0.20895211
0.22424576,0.20202151
0.22476372,0.19769151
0.22901575,0.19107491
0.2317465,0.19212155
